NAME	FRAME	DURATION
RenderThread_0.0	0	6.83598
RenderThread_0.1	1	6.68334
RenderThread_0.2	2	6.27771
RenderThread_0.3	3	161.897
RenderThread_0.4	4	6.45288
RenderThread_0.5	5	5.5043
RenderThread_0.6	6	6.72361
RenderThread_0.7	7	6.69296
RenderThread_0.8	8	6.68965
RenderThread_0.9	9	5.78193
RenderThread_1.0	0	6.43455
RenderThread_1.1	1	7.04331
RenderThread_1.2	2	9.795
RenderThread_1.3	3	171.089
RenderThread_1.4	4	6.56015
RenderThread_1.5	5	184.399
RenderThread_1.6	6	6.76958
RenderThread_1.7	7	6.67373
RenderThread_1.8	8	6.81405
RenderThread_1.9	9	6.77529
RenderThread_2.0	0	7.11993
RenderThread_2.1	1	6.68725
RenderThread_2.2	2	8.29416
RenderThread_2.3	3	7.63132
RenderThread_2.4	4	183.423
RenderThread_2.5	5	184.213
RenderThread_2.6	6	7.04931
RenderThread_2.7	7	6.50276
RenderThread_2.8	8	6.75876
RenderThread_2.9	9	6.86032
RenderThread_3.0	0	9.39358
RenderThread_3.1	1	8.56759
RenderThread_3.2	2	8.59373
RenderThread_3.3	3	8.35515
RenderThread_3.4	4	183.345
RenderThread_3.5	5	184.144
RenderThread_3.6	6	8.27733
RenderThread_3.7	7	8.23377
RenderThread_3.8	8	8.9603
RenderThread_3.9	9	11.395
RenderThread_4.0	0	24.6018
RenderThread_4.1	1	26.3076
RenderThread_4.2	2	25.5612
RenderThread_4.3	3	170.858
RenderThread_4.4	4	183.056
RenderThread_4.5	5	184.062
RenderThread_4.6	6	25.0595
RenderThread_4.7	7	186.192
RenderThread_4.8	8	170.624
RenderThread_4.9	9	182.063
RenderThread_5.0	0	28.0506
RenderThread_5.1	1	25.8761
RenderThread_5.2	2	27.1318
RenderThread_5.3	3	170.713
RenderThread_5.4	4	177.681
RenderThread_5.5	5	184.096
RenderThread_5.6	6	203.762
RenderThread_5.7	7	183.901
RenderThread_5.8	8	168.241
RenderThread_5.9	9	179.313
RenderThread_6.0	0	17.2749
RenderThread_6.1	1	13.6137
RenderThread_6.2	2	12.6618
RenderThread_6.3	3	169.511
RenderThread_6.4	4	175.757
RenderThread_6.5	5	182.456
RenderThread_6.6	6	14.7464
RenderThread_6.7	7	13.714
RenderThread_6.8	8	160.456
RenderThread_6.9	9	175.114
RenderThread_7.0	0	11.3046
RenderThread_7.1	1	10.197
RenderThread_7.2	2	10.2728
RenderThread_7.3	3	161.966
RenderThread_7.4	4	10.0264
RenderThread_7.5	5	8.84161
RenderThread_7.6	6	10.5032
RenderThread_7.7	7	10.8755
RenderThread_7.8	8	159.754
RenderThread_7.9	9	170.263
