NAME	FRAME	DURATION
RenderThread_0.0	0	60.3932
RenderThread_0.1	1	43.5062
RenderThread_0.2	2	53.3342
RenderThread_0.3	3	45.8742
RenderThread_0.4	4	43.8673
RenderThread_0.5	5	65.8302
RenderThread_0.6	6	44.1071
RenderThread_0.7	7	42.6793
RenderThread_0.8	8	43.4879
RenderThread_0.9	9	51.1117
RenderThread_1.0	0	60.83
RenderThread_1.1	1	44.7498
RenderThread_1.2	2	43.9551
RenderThread_1.3	3	55.5063
RenderThread_1.4	4	46.668
RenderThread_1.5	5	46.1112
RenderThread_1.6	6	44.2192
RenderThread_1.7	7	44.5359
RenderThread_1.8	8	56.704
RenderThread_1.9	9	49.9621
RenderThread_2.0	0	45.3075
RenderThread_2.1	1	44.7273
RenderThread_2.2	2	54.2921
RenderThread_2.3	3	51.2427
RenderThread_2.4	4	43.5885
RenderThread_2.5	5	45.8048
RenderThread_2.6	6	47.9309
RenderThread_2.7	7	44.5437
RenderThread_2.8	8	44.0957
RenderThread_2.9	9	44.6765
RenderThread_3.0	0	53.8078
RenderThread_3.1	1	53.0395
RenderThread_3.2	2	55.5111
RenderThread_3.3	3	53.644
RenderThread_3.4	4	51.5221
RenderThread_3.5	5	53.9805
RenderThread_3.6	6	52.0822
RenderThread_3.7	7	60.8129
RenderThread_3.8	8	51.9383
RenderThread_3.9	9	52.4602
RenderThread_4.0	0	156.387
RenderThread_4.1	1	136.024
RenderThread_4.2	2	140.279
RenderThread_4.3	3	154.086
RenderThread_4.4	4	143.952
RenderThread_4.5	5	130.724
RenderThread_4.6	6	128.909
RenderThread_4.7	7	143.753
RenderThread_4.8	8	140.026
RenderThread_4.9	9	133.196
RenderThread_5.0	0	167.997
RenderThread_5.1	1	161.824
RenderThread_5.2	2	148.716
RenderThread_5.3	3	147.813
RenderThread_5.4	4	153.839
RenderThread_5.5	5	149.015
RenderThread_5.6	6	134.473
RenderThread_5.7	7	147.016
RenderThread_5.8	8	151.198
RenderThread_5.9	9	136.53
RenderThread_6.0	0	91.3806
RenderThread_6.1	1	95.2254
RenderThread_6.2	2	89.7058
RenderThread_6.3	3	95.1157
RenderThread_6.4	4	96.9218
RenderThread_6.5	5	87.9769
RenderThread_6.6	6	90.6679
RenderThread_6.7	7	98.3911
RenderThread_6.8	8	93.4562
RenderThread_6.9	9	100.271
RenderThread_7.0	0	72.9846
RenderThread_7.1	1	70.5992
RenderThread_7.2	2	74.883
RenderThread_7.3	3	71.5072
RenderThread_7.4	4	70.6794
RenderThread_7.5	5	72.6502
RenderThread_7.6	6	71.988
RenderThread_7.7	7	64.5781
RenderThread_7.8	8	74.9437
RenderThread_7.9	9	71.1106
