NAME	FRAME	DURATION
RenderThread_0.0	0	6.58629
RenderThread_0.1	1	6.71579
RenderThread_0.2	2	6.80203
RenderThread_0.3	3	177.72
RenderThread_0.4	4	156.469
RenderThread_0.5	5	134.204
RenderThread_0.6	6	6.72631
RenderThread_0.7	7	6.60101
RenderThread_0.8	8	6.67733
RenderThread_0.9	9	151.173
RenderThread_1.0	0	6.93003
RenderThread_1.1	1	6.5277
RenderThread_1.2	2	7.02888
RenderThread_1.3	3	7.30081
RenderThread_1.4	4	6.56075
RenderThread_1.5	5	135.084
RenderThread_1.6	6	35.0534
RenderThread_1.7	7	7.73048
RenderThread_1.8	8	6.53101
RenderThread_1.9	9	6.63797
RenderThread_2.0	0	6.85521
RenderThread_2.1	1	6.66351
RenderThread_2.2	2	6.58449
RenderThread_2.3	3	6.73142
RenderThread_2.4	4	157.009
RenderThread_2.5	5	134.891
RenderThread_2.6	6	34.9596
RenderThread_2.7	7	7.04481
RenderThread_2.8	8	6.68004
RenderThread_2.9	9	7.59226
RenderThread_3.0	0	8.1932
RenderThread_3.1	1	8.16496
RenderThread_3.2	2	8.27974
RenderThread_3.3	3	8.77131
RenderThread_3.4	4	157.01
RenderThread_3.5	5	134.828
RenderThread_3.6	6	11.441
RenderThread_3.7	7	8.52162
RenderThread_3.8	8	8.18539
RenderThread_3.9	9	8.08173
RenderThread_4.0	0	25.6457
RenderThread_4.1	1	22.299
RenderThread_4.2	2	23.4432
RenderThread_4.3	3	184.841
RenderThread_4.4	4	156.959
RenderThread_4.5	5	134.751
RenderThread_4.6	6	27.7778
RenderThread_4.7	7	175.457
RenderThread_4.8	8	115.883
RenderThread_4.9	9	157.787
RenderThread_5.0	0	27.1384
RenderThread_5.1	1	24.2975
RenderThread_5.2	2	26.7241
RenderThread_5.3	3	184.457
RenderThread_5.4	4	156.88
RenderThread_5.5	5	134.728
RenderThread_5.6	6	25.5916
RenderThread_5.7	7	171.046
RenderThread_5.8	8	115.735
RenderThread_5.9	9	157.494
RenderThread_6.0	0	13.8598
RenderThread_6.1	1	12.526
RenderThread_6.2	2	13.1645
RenderThread_6.3	3	178.14
RenderThread_6.4	4	156.834
RenderThread_6.5	5	134.545
RenderThread_6.6	6	13.1978
RenderThread_6.7	7	14.0827
RenderThread_6.8	8	109.207
RenderThread_6.9	9	154.503
RenderThread_7.0	0	10.1126
RenderThread_7.1	1	9.29953
RenderThread_7.2	2	10.0255
RenderThread_7.3	3	177.753
RenderThread_7.4	4	156.577
RenderThread_7.5	5	134.282
RenderThread_7.6	6	9.82265
RenderThread_7.7	7	10.365
RenderThread_7.8	8	10.4311
RenderThread_7.9	9	150.28
