NAME	FRAME	DURATION
RenderThread_1.0	0	19.7718
RenderThread_1.1	1	20.1084
RenderThread_1.2	2	19.3346
RenderThread_1.3	3	22.0335
RenderThread_1.4	4	19.8154
RenderThread_1.5	5	21.7171
RenderThread_1.6	6	19.8406
RenderThread_1.7	7	19.9365
RenderThread_1.8	8	19.8887
RenderThread_1.9	9	21.2363
RenderThread_2.0	0	22.3216
RenderThread_2.1	1	20.7072
RenderThread_2.2	2	19.8379
RenderThread_2.3	3	20.48
RenderThread_2.4	4	19.8109
RenderThread_2.5	5	21.3751
RenderThread_2.6	6	21.1705
RenderThread_2.7	7	20.0744
RenderThread_2.8	8	20.6672
RenderThread_2.9	9	21.3766
RenderThread_3.0	0	25.0817
RenderThread_3.1	1	24.936
RenderThread_3.2	2	26.8731
RenderThread_3.3	3	27.0787
RenderThread_3.4	4	24.0301
RenderThread_3.5	5	24.2167
RenderThread_3.6	6	25.0433
RenderThread_3.7	7	24.6452
RenderThread_3.8	8	30.315
RenderThread_3.9	9	24.7879
RenderThread_4.0	0	63.5873
RenderThread_4.1	1	59.53
RenderThread_4.2	2	59.7722
RenderThread_4.3	3	66.3203
RenderThread_4.4	4	66.8185
RenderThread_4.5	5	67.1668
RenderThread_4.6	6	67.5901
RenderThread_4.7	7	61.3121
RenderThread_4.8	8	67.4946
RenderThread_4.9	9	66.631
RenderThread_5.0	0	70.8968
RenderThread_5.1	1	68.6832
RenderThread_5.2	2	68.5471
RenderThread_5.3	3	67.3443
RenderThread_5.4	4	71.9716
RenderThread_5.5	5	73.6422
RenderThread_5.6	6	70.8851
RenderThread_5.7	7	75.9035
RenderThread_5.8	8	72.0737
RenderThread_5.9	9	69.7947
RenderThread_6.0	0	47.1798
RenderThread_6.1	1	44.3614
RenderThread_6.2	2	40.4646
RenderThread_6.3	3	51.554
RenderThread_6.4	4	45.3226
RenderThread_6.5	5	47.1774
RenderThread_6.6	6	47.5545
RenderThread_6.7	7	44.2118
RenderThread_6.8	8	46.797
RenderThread_6.9	9	48.0842
RenderThread_7.0	0	36.2727
RenderThread_7.1	1	29.5134
RenderThread_7.2	2	33.3576
RenderThread_7.3	3	32.558
RenderThread_7.4	4	34.3203
RenderThread_7.5	5	32.4267
RenderThread_7.6	6	35.7397
RenderThread_7.7	7	32.8723
RenderThread_7.8	8	32.4706
RenderThread_7.9	9	33.6166
RenderThread_MainThread.0	0	19.8638
RenderThread_MainThread.1	1	17.3678
RenderThread_MainThread.2	2	31.2257
RenderThread_MainThread.3	3	16.6989
RenderThread_MainThread.4	4	19.7289
RenderThread_MainThread.5	5	20.0062
RenderThread_MainThread.6	6	20.1703
RenderThread_MainThread.7	7	19.4113
RenderThread_MainThread.8	8	24.4868
RenderThread_MainThread.9	9	21.1245
