NAME	FRAME	DURATION
RenderThread_0.0	0	42.722
RenderThread_0.1	1	1482.68
RenderThread_0.2	2	57.3683
RenderThread_0.3	3	44.4629
RenderThread_0.4	4	42.3929
RenderThread_0.5	5	42.2737
RenderThread_0.6	6	62.1278
RenderThread_0.7	7	46.9499
RenderThread_0.8	8	58.7334
RenderThread_0.9	9	45.6233
RenderThread_1.0	0	41.8653
RenderThread_1.1	1	42.7595
RenderThread_1.2	2	44.4731
RenderThread_1.3	3	44.0299
RenderThread_1.4	4	54.363
RenderThread_1.5	5	44.4551
RenderThread_1.6	6	45.2351
RenderThread_1.7	7	45.4379
RenderThread_1.8	8	46.2423
RenderThread_1.9	9	44.3493
RenderThread_2.0	0	45.3246
RenderThread_2.1	1	1525.79
RenderThread_2.2	2	59.5975
RenderThread_2.3	3	44.3268
RenderThread_2.4	4	41.9326
RenderThread_2.5	5	57.4504
RenderThread_2.6	6	61.3357
RenderThread_2.7	7	44.5885
RenderThread_2.8	8	45.2366
RenderThread_2.9	9	44.0104
RenderThread_3.0	0	55.619
RenderThread_3.1	1	1525.71
RenderThread_3.2	2	62.784
RenderThread_3.3	3	52.4256
RenderThread_3.4	4	56.1911
RenderThread_3.5	5	57.3515
RenderThread_3.6	6	60.9496
RenderThread_3.7	7	67.8899
RenderThread_3.8	8	69.1621
RenderThread_3.9	9	59.2901
RenderThread_4.0	0	160.343
RenderThread_4.1	1	1525.56
RenderThread_4.2	2	156.279
RenderThread_4.3	3	141.57
RenderThread_4.4	4	150.208
RenderThread_4.5	5	151.42
RenderThread_4.6	6	160.587
RenderThread_4.7	7	172.917
RenderThread_4.8	8	172.146
RenderThread_4.9	9	142.111
RenderThread_5.0	0	165.089
RenderThread_5.1	1	1525.27
RenderThread_5.2	2	168.164
RenderThread_5.3	3	147.747
RenderThread_5.4	4	161.722
RenderThread_5.5	5	173.815
RenderThread_5.6	6	169.7
RenderThread_5.7	7	195.897
RenderThread_5.8	8	180.185
RenderThread_5.9	9	176.475
RenderThread_6.0	0	100.399
RenderThread_6.1	1	1494.35
RenderThread_6.2	2	88.6072
RenderThread_6.3	3	75.9352
RenderThread_6.4	4	93.4112
RenderThread_6.5	5	91.0041
RenderThread_6.6	6	91.4878
RenderThread_6.7	7	112.901
RenderThread_6.8	8	106.255
RenderThread_6.9	9	86.5232
RenderThread_7.0	0	67.0567
RenderThread_7.1	1	1482.68
RenderThread_7.2	2	68.8673
RenderThread_7.3	3	61.0121
RenderThread_7.4	4	64.2055
RenderThread_7.5	5	65.6189
RenderThread_7.6	6	74.2085
RenderThread_7.7	7	75.8253
RenderThread_7.8	8	80.0977
RenderThread_7.9	9	62.7906
