NAME	FRAME	DURATION
Frame_0	0	165.471
Frame_1	1	156.869
Frame_2	2	158.322
Frame_3	3	188.724
Frame_4	4	162.961
Frame_5	5	142.371
Frame_6	6	168.033
Frame_7	7	163.13
Frame_8	8	168.487
Frame_9	9	164.47
