NAME	FRAME	DURATION
RenderThread_0.0	0	46.3237
RenderThread_0.1	1	46.5247
RenderThread_0.2	2	45.4908
RenderThread_0.3	3	46.9538
RenderThread_0.4	4	46.1686
RenderThread_0.5	5	48.213
RenderThread_0.6	6	45.4394
RenderThread_0.7	7	69.2143
RenderThread_0.8	8	45.6533
RenderThread_0.9	9	46.0908
RenderThread_1.0	0	52.9689
RenderThread_1.1	1	45.3772
RenderThread_1.2	2	60.8544
RenderThread_1.3	3	58.3208
RenderThread_1.4	4	47.6827
RenderThread_1.5	5	45.9475
RenderThread_1.6	6	45.3276
RenderThread_1.7	7	48.5351
RenderThread_1.8	8	45.891
RenderThread_1.9	9	49.0162
RenderThread_2.0	0	46.9387
RenderThread_2.1	1	45.032
RenderThread_2.2	2	44.1783
RenderThread_2.3	3	49.0985
RenderThread_2.4	4	63.485
RenderThread_2.5	5	45.062
RenderThread_2.6	6	51.6357
RenderThread_2.7	7	64.6292
RenderThread_2.8	8	48.7911
RenderThread_2.9	9	47.2915
RenderThread_3.0	0	59.7979
RenderThread_3.1	1	54.5067
RenderThread_3.2	2	55.4369
RenderThread_3.3	3	58.1481
RenderThread_3.4	4	53.9433
RenderThread_3.5	5	54.5659
RenderThread_3.6	6	54.7338
RenderThread_3.7	7	86.4427
RenderThread_3.8	8	60.3514
RenderThread_3.9	9	69.4088
RenderThread_4.0	0	152.408
RenderThread_4.1	1	155.322
RenderThread_4.2	2	140.981
RenderThread_4.3	3	156.136
RenderThread_4.4	4	147.492
RenderThread_4.5	5	131.251
RenderThread_4.6	6	138.649
RenderThread_4.7	7	160.267
RenderThread_4.8	8	155.078
RenderThread_4.9	9	163.526
RenderThread_5.0	0	163.105
RenderThread_5.1	1	155.978
RenderThread_5.2	2	156.45
RenderThread_5.3	3	150.1
RenderThread_5.4	4	162.101
RenderThread_5.5	5	141.588
RenderThread_5.6	6	166.849
RenderThread_5.7	7	162.088
RenderThread_5.8	8	163.619
RenderThread_5.9	9	162.735
RenderThread_6.0	0	115.683
RenderThread_6.1	1	111.039
RenderThread_6.2	2	91.2126
RenderThread_6.3	3	96.2713
RenderThread_6.4	4	95.4549
RenderThread_6.5	5	92.7615
RenderThread_6.6	6	103.518
RenderThread_6.7	7	116.752
RenderThread_6.8	8	98.9377
RenderThread_6.9	9	104.188
RenderThread_7.0	0	79.9561
RenderThread_7.1	1	75.9911
RenderThread_7.2	2	73.9786
RenderThread_7.3	3	71.8248
RenderThread_7.4	4	71.2491
RenderThread_7.5	5	78.5845
RenderThread_7.6	6	75.0939
RenderThread_7.7	7	96.8696
RenderThread_7.8	8	71.9694
RenderThread_7.9	9	72.7052
