NAME	FRAME	DURATION
RenderThread_0.0	0	290.154
RenderThread_0.1	1	289.876
RenderThread_0.10	10	281.004
RenderThread_0.11	11	263.719
RenderThread_0.12	12	274.079
RenderThread_0.13	13	286.737
RenderThread_0.14	14	273.11
RenderThread_0.15	15	282.494
RenderThread_0.16	16	292.159
RenderThread_0.17	17	304.858
RenderThread_0.18	18	319.927
RenderThread_0.19	19	314.316
RenderThread_0.2	2	270.1
RenderThread_0.3	3	264.42
RenderThread_0.4	4	293.888
RenderThread_0.5	5	280.326
RenderThread_0.6	6	287.431
RenderThread_0.7	7	282.965
RenderThread_0.8	8	262.208
RenderThread_0.9	9	294.921
RenderThread_1.0	0	203.469
RenderThread_1.1	1	222.72
RenderThread_1.10	10	225.693
RenderThread_1.11	11	200.622
RenderThread_1.12	12	241.633
RenderThread_1.13	13	240.025
RenderThread_1.14	14	207.403
RenderThread_1.15	15	245.85
RenderThread_1.16	16	225.158
RenderThread_1.17	17	247.511
RenderThread_1.18	18	258.805
RenderThread_1.19	19	226.933
RenderThread_1.2	2	206.66
RenderThread_1.3	3	197.286
RenderThread_1.4	4	231.039
RenderThread_1.5	5	236.743
RenderThread_1.6	6	216.858
RenderThread_1.7	7	209.946
RenderThread_1.8	8	202.893
RenderThread_1.9	9	230.412
