NAME	FRAME	DURATION
RenderThread_0.0	0	45.1293
RenderThread_0.1	1	44.4494
RenderThread_0.2	2	45.5232
RenderThread_0.3	3	41.0045
RenderThread_0.4	4	44.4824
RenderThread_0.5	5	51.8562
RenderThread_0.6	6	44.3929
RenderThread_0.7	7	44.0458
RenderThread_0.8	8	43.7009
RenderThread_0.9	9	44.6714
RenderThread_1.0	0	44.0846
RenderThread_1.1	1	45.0217
RenderThread_1.2	2	47.8867
RenderThread_1.3	3	44.7781
RenderThread_1.4	4	44.9328
RenderThread_1.5	5	50.1444
RenderThread_1.6	6	45.7251
RenderThread_1.7	7	44.2748
RenderThread_1.8	8	52.6687
RenderThread_1.9	9	45.4734
RenderThread_2.0	0	45.7549
RenderThread_2.1	1	43.718
RenderThread_2.2	2	44.3159
RenderThread_2.3	3	44.8114
RenderThread_2.4	4	56.8122
RenderThread_2.5	5	45.5139
RenderThread_2.6	6	44.8889
RenderThread_2.7	7	45.7988
RenderThread_2.8	8	43.6291
RenderThread_2.9	9	57.8683
RenderThread_3.0	0	52.8349
RenderThread_3.1	1	52.974
RenderThread_3.2	2	54.1242
RenderThread_3.3	3	52.8847
RenderThread_3.4	4	52.1609
RenderThread_3.5	5	51.9365
RenderThread_3.6	6	52.8959
RenderThread_3.7	7	51.5654
RenderThread_3.8	8	53.2844
RenderThread_3.9	9	53.7399
RenderThread_4.0	0	142.24
RenderThread_4.1	1	145.405
RenderThread_4.2	2	119.598
RenderThread_4.3	3	142.789
RenderThread_4.4	4	127.714
RenderThread_4.5	5	131.495
RenderThread_4.6	6	118.978
RenderThread_4.7	7	145.32
RenderThread_4.8	8	137.178
RenderThread_4.9	9	120.928
RenderThread_5.0	0	151.083
RenderThread_5.1	1	160.285
RenderThread_5.2	2	129.172
RenderThread_5.3	3	153.328
RenderThread_5.4	4	165.358
RenderThread_5.5	5	146.062
RenderThread_5.6	6	129.108
RenderThread_5.7	7	147.646
RenderThread_5.8	8	149.079
RenderThread_5.9	9	130.136
RenderThread_6.0	0	94.9733
RenderThread_6.1	1	109.188
RenderThread_6.2	2	86.6572
RenderThread_6.3	3	99.2216
RenderThread_6.4	4	91.9659
RenderThread_6.5	5	99.3914
RenderThread_6.6	6	83.1192
RenderThread_6.7	7	92.1233
RenderThread_6.8	8	93.4697
RenderThread_6.9	9	82.0168
RenderThread_7.0	0	70.8198
RenderThread_7.1	1	72.5976
RenderThread_7.2	2	69.8207
RenderThread_7.3	3	72.8924
RenderThread_7.4	4	72.0021
RenderThread_7.5	5	71.4769
RenderThread_7.6	6	68.2874
RenderThread_7.7	7	61.8219
RenderThread_7.8	8	70.3811
RenderThread_7.9	9	68.1167
