NAME	FRAME	DURATION
RenderThread_0.0	0	50.3575
RenderThread_0.1	1	56.0577
RenderThread_0.2	2	44.0284
RenderThread_0.3	3	44.3505
RenderThread_0.4	4	45.6455
RenderThread_0.5	5	43.8571
RenderThread_0.6	6	44.7375
RenderThread_0.7	7	70.8657
RenderThread_0.8	8	60.3592
RenderThread_0.9	9	44.6693
RenderThread_1.0	0	55.5238
RenderThread_1.1	1	45.6554
RenderThread_1.2	2	44.8171
RenderThread_1.3	3	44.267
RenderThread_1.4	4	46.2786
RenderThread_1.5	5	44.0359
RenderThread_1.6	6	46.5983
RenderThread_1.7	7	58.9428
RenderThread_1.8	8	66.956
RenderThread_1.9	9	65.8515
RenderThread_2.0	0	50.5897
RenderThread_2.1	1	49.566
RenderThread_2.2	2	47.2708
RenderThread_2.3	3	44.6963
RenderThread_2.4	4	49.7256
RenderThread_2.5	5	44.1822
RenderThread_2.6	6	46.1948
RenderThread_2.7	7	56.5751
RenderThread_2.8	8	49.4594
RenderThread_2.9	9	45.4439
RenderThread_3.0	0	61.2291
RenderThread_3.1	1	51.3713
RenderThread_3.2	2	67.9094
RenderThread_3.3	3	52.0116
RenderThread_3.4	4	76.8117
RenderThread_3.5	5	57.691
RenderThread_3.6	6	53.0734
RenderThread_3.7	7	79.7491
RenderThread_3.8	8	94.476
RenderThread_3.9	9	74.7006
RenderThread_4.0	0	148.419
RenderThread_4.1	1	133.669
RenderThread_4.2	2	127.599
RenderThread_4.3	3	125.217
RenderThread_4.4	4	147.091
RenderThread_4.5	5	145.107
RenderThread_4.6	6	122.081
RenderThread_4.7	7	149.012
RenderThread_4.8	8	135.344
RenderThread_4.9	9	139.406
RenderThread_5.0	0	163.872
RenderThread_5.1	1	143.555
RenderThread_5.2	2	144.419
RenderThread_5.3	3	142.804
RenderThread_5.4	4	159.672
RenderThread_5.5	5	156.549
RenderThread_5.6	6	141.159
RenderThread_5.7	7	158.372
RenderThread_5.8	8	162.034
RenderThread_5.9	9	158.281
RenderThread_6.0	0	105.325
RenderThread_6.1	1	100.817
RenderThread_6.2	2	94.2266
RenderThread_6.3	3	96.5586
RenderThread_6.4	4	108.32
RenderThread_6.5	5	95.406
RenderThread_6.6	6	94.424
RenderThread_6.7	7	116.363
RenderThread_6.8	8	95.0436
RenderThread_6.9	9	99.2658
RenderThread_7.0	0	90.999
RenderThread_7.1	1	76.544
RenderThread_7.2	2	69.6666
RenderThread_7.3	3	72.2437
RenderThread_7.4	4	74.6474
RenderThread_7.5	5	70.0626
RenderThread_7.6	6	72.0751
RenderThread_7.7	7	91.2264
RenderThread_7.8	8	76.3616
RenderThread_7.9	9	71.6391
