NAME	FRAME	DURATION
RenderThread_1.0	0	20.2469
RenderThread_1.1	1	20.2198
RenderThread_1.10	10	21.1453
RenderThread_1.11	11	21.1816
RenderThread_1.12	12	19.7796
RenderThread_1.13	13	21.785
RenderThread_1.14	14	20.456
RenderThread_1.15	15	20.6534
RenderThread_1.16	16	20.5485
RenderThread_1.17	17	20.666
RenderThread_1.18	18	20.142
RenderThread_1.19	19	20.8424
RenderThread_1.2	2	35.2157
RenderThread_1.3	3	34.5111
RenderThread_1.4	4	19.7778
RenderThread_1.5	5	20.3547
RenderThread_1.6	6	20.8033
RenderThread_1.7	7	20.1814
RenderThread_1.8	8	20.3124
RenderThread_1.9	9	20.115
RenderThread_2.0	0	19.8713
RenderThread_2.1	1	19.9626
RenderThread_2.10	10	19.6351
RenderThread_2.11	11	21.1858
RenderThread_2.12	12	20.0711
RenderThread_2.13	13	20.0594
RenderThread_2.14	14	23.6584
RenderThread_2.15	15	20.2658
RenderThread_2.16	16	22.428
RenderThread_2.17	17	21.5861
RenderThread_2.18	18	20.233
RenderThread_2.19	19	21.1979
RenderThread_2.2	2	21.8712
RenderThread_2.3	3	27.0228
RenderThread_2.4	4	20.182
RenderThread_2.5	5	20.9401
RenderThread_2.6	6	21.117
RenderThread_2.7	7	20.1339
RenderThread_2.8	8	20.301
RenderThread_2.9	9	19.8217
RenderThread_3.0	0	25.4723
RenderThread_3.1	1	25.0781
RenderThread_3.10	10	24.2786
RenderThread_3.11	11	23.7759
RenderThread_3.12	12	23.9409
RenderThread_3.13	13	24.8558
RenderThread_3.14	14	31.8014
RenderThread_3.15	15	23.802
RenderThread_3.16	16	23.7555
RenderThread_3.17	17	25.1226
RenderThread_3.18	18	24.5063
RenderThread_3.19	19	23.8342
RenderThread_3.2	2	25.1683
RenderThread_3.3	3	24.0445
RenderThread_3.4	4	23.9505
RenderThread_3.5	5	24.1374
RenderThread_3.6	6	24.0998
RenderThread_3.7	7	23.9033
RenderThread_3.8	8	24.7969
RenderThread_3.9	9	23.6635
RenderThread_4.0	0	56.6224
RenderThread_4.1	1	64.2471
RenderThread_4.10	10	59.4216
RenderThread_4.11	11	68.8332
RenderThread_4.12	12	62.5299
RenderThread_4.13	13	61.8031
RenderThread_4.14	14	71.5071
RenderThread_4.15	15	66.5532
RenderThread_4.16	16	59.4339
RenderThread_4.17	17	60.8097
RenderThread_4.18	18	65.2005
RenderThread_4.19	19	64.5779
RenderThread_4.2	2	64.9652
RenderThread_4.3	3	62.0735
RenderThread_4.4	4	65.4358
RenderThread_4.5	5	69.2217
RenderThread_4.6	6	73.6356
RenderThread_4.7	7	67.0889
RenderThread_4.8	8	63.2985
RenderThread_4.9	9	59.8245
RenderThread_5.0	0	60.8665
RenderThread_5.1	1	65.0638
RenderThread_5.10	10	73.6491
RenderThread_5.11	11	72.83
RenderThread_5.12	12	74.951
RenderThread_5.13	13	67.8455
RenderThread_5.14	14	66.3381
RenderThread_5.15	15	72.9932
RenderThread_5.16	16	66.3961
RenderThread_5.17	17	63.1474
RenderThread_5.18	18	70.7793
RenderThread_5.19	19	66.6821
RenderThread_5.2	2	69.8806
RenderThread_5.3	3	67.9789
RenderThread_5.4	4	69.5528
RenderThread_5.5	5	69.8091
RenderThread_5.6	6	74.0893
RenderThread_5.7	7	73.958
RenderThread_5.8	8	67.8705
RenderThread_5.9	9	66.5382
RenderThread_6.0	0	38.0212
RenderThread_6.1	1	41.2873
RenderThread_6.10	10	39.6446
RenderThread_6.11	11	45.3478
RenderThread_6.12	12	42.3699
RenderThread_6.13	13	45.0771
RenderThread_6.14	14	40.049
RenderThread_6.15	15	44.6051
RenderThread_6.16	16	43.3266
RenderThread_6.17	17	45.5651
RenderThread_6.18	18	45.0188
RenderThread_6.19	19	54.9346
RenderThread_6.2	2	47.3379
RenderThread_6.3	3	44.0835
RenderThread_6.4	4	45.5612
RenderThread_6.5	5	44.4978
RenderThread_6.6	6	46.8006
RenderThread_6.7	7	44.1433
RenderThread_6.8	8	45.9196
RenderThread_6.9	9	41.7617
RenderThread_7.0	0	30.7177
RenderThread_7.1	1	32.9547
RenderThread_7.10	10	32.8792
RenderThread_7.11	11	30.8141
RenderThread_7.12	12	32.052
RenderThread_7.13	13	34.5126
RenderThread_7.14	14	38.2339
RenderThread_7.15	15	33.6241
RenderThread_7.16	16	28.9365
RenderThread_7.17	17	31.8318
RenderThread_7.18	18	30.2654
RenderThread_7.19	19	31.8639
RenderThread_7.2	2	49.3618
RenderThread_7.3	3	32.3552
RenderThread_7.4	4	33.0265
RenderThread_7.5	5	33.3858
RenderThread_7.6	6	36.1099
RenderThread_7.7	7	33.6505
RenderThread_7.8	8	31.5097
RenderThread_7.9	9	32.9676
RenderThread_MainThread.0	0	19.2484
RenderThread_MainThread.1	1	21.2622
RenderThread_MainThread.10	10	20.2778
RenderThread_MainThread.11	11	19.2553
RenderThread_MainThread.12	12	20.5969
RenderThread_MainThread.13	13	16.0123
RenderThread_MainThread.14	14	19.3767
RenderThread_MainThread.15	15	19.9085
RenderThread_MainThread.16	16	19.8403
RenderThread_MainThread.17	17	19.7724
RenderThread_MainThread.18	18	19.3974
RenderThread_MainThread.19	19	28.1078
RenderThread_MainThread.2	2	19.3358
RenderThread_MainThread.3	3	19.9792
RenderThread_MainThread.4	4	20.0317
RenderThread_MainThread.5	5	19.0636
RenderThread_MainThread.6	6	22.8483
RenderThread_MainThread.7	7	19.7235
RenderThread_MainThread.8	8	19.9359
RenderThread_MainThread.9	9	26.7286
