NAME	FRAME	DURATION
RenderThread_0.0	0	19.2607
RenderThread_0.1	1	16.5601
RenderThread_0.2	2	16.6175
RenderThread_0.3	3	19.5687
RenderThread_0.4	4	33.1063
RenderThread_0.5	5	18.6601
RenderThread_0.6	6	17.5925
RenderThread_0.7	7	20.2991
RenderThread_0.8	8	21.2291
RenderThread_0.9	9	20.1894
RenderThread_1.0	0	19.4239
RenderThread_1.1	1	20.2844
RenderThread_1.2	2	20.5413
RenderThread_1.3	3	27.3037
RenderThread_1.4	4	34.3169
RenderThread_1.5	5	21.2429
RenderThread_1.6	6	20.6894
RenderThread_1.7	7	19.7198
RenderThread_1.8	8	20.2652
RenderThread_1.9	9	20.9653
RenderThread_2.0	0	20.7345
RenderThread_2.1	1	20.011
RenderThread_2.2	2	20.0614
RenderThread_2.3	3	19.6363
RenderThread_2.4	4	20.6756
RenderThread_2.5	5	19.9737
RenderThread_2.6	6	21.6593
RenderThread_2.7	7	19.9205
RenderThread_2.8	8	19.8709
RenderThread_2.9	9	20.1345
RenderThread_3.0	0	23.3834
RenderThread_3.1	1	23.8338
RenderThread_3.2	2	24.7509
RenderThread_3.3	3	24.0406
RenderThread_3.4	4	25.7067
RenderThread_3.5	5	23.7134
RenderThread_3.6	6	24.1316
RenderThread_3.7	7	23.625
RenderThread_3.8	8	25.0234
RenderThread_3.9	9	24.0691
RenderThread_4.0	0	66.6453
RenderThread_4.1	1	62.3796
RenderThread_4.2	2	64.8149
RenderThread_4.3	3	66.8466
RenderThread_4.4	4	64.5312
RenderThread_4.5	5	56.9777
RenderThread_4.6	6	65.947
RenderThread_4.7	7	62.8363
RenderThread_4.8	8	68.7805
RenderThread_4.9	9	68.0359
RenderThread_5.0	0	71.7539
RenderThread_5.1	1	67.651
RenderThread_5.2	2	69.2555
RenderThread_5.3	3	72.6012
RenderThread_5.4	4	77.6104
RenderThread_5.5	5	67.0359
RenderThread_5.6	6	65.7265
RenderThread_5.7	7	69.4451
RenderThread_5.8	8	72.5709
RenderThread_5.9	9	70.4538
RenderThread_6.0	0	52.9662
RenderThread_6.1	1	48.2674
RenderThread_6.2	2	44.9824
RenderThread_6.3	3	43.5831
RenderThread_6.4	4	46.5659
RenderThread_6.5	5	45.3997
RenderThread_6.6	6	44.7474
RenderThread_6.7	7	43.9283
RenderThread_6.8	8	46.1518
RenderThread_6.9	9	45.1275
RenderThread_7.0	0	43.9437
RenderThread_7.1	1	30.2146
RenderThread_7.2	2	27.2995
RenderThread_7.3	3	33.3206
RenderThread_7.4	4	35.4229
RenderThread_7.5	5	30.9868
RenderThread_7.6	6	33.6916
RenderThread_7.7	7	35.5948
RenderThread_7.8	8	36.7961
RenderThread_7.9	9	34.9121
