NAME	FRAME	DURATION
RenderThread_0.0	0	43.6672
RenderThread_0.1	1	44.3201
RenderThread_0.10	10	43.9214
RenderThread_0.11	11	44.3619
RenderThread_0.12	12	44.056
RenderThread_0.13	13	43.9815
RenderThread_0.14	14	50.1345
RenderThread_0.15	15	44.0945
RenderThread_0.16	16	44.2084
RenderThread_0.17	17	44.0663
RenderThread_0.18	18	43.7393
RenderThread_0.19	19	44.5338
RenderThread_0.2	2	43.7228
RenderThread_0.20	20	44.0479
RenderThread_0.21	21	44.0173
RenderThread_0.22	22	44.3817
RenderThread_0.23	23	44.1663
RenderThread_0.24	24	44.1699
RenderThread_0.25	25	44.1639
RenderThread_0.26	26	44.0813
RenderThread_0.27	27	44.1158
RenderThread_0.28	28	44.6474
RenderThread_0.29	29	44.0422
RenderThread_0.3	3	46.6704
RenderThread_0.30	30	45.0226
RenderThread_0.31	31	43.7261
RenderThread_0.32	32	43.9082
RenderThread_0.33	33	44.1732
RenderThread_0.34	34	44.8051
RenderThread_0.35	35	44.7351
RenderThread_0.36	36	43.9355
RenderThread_0.37	37	43.8424
RenderThread_0.38	38	43.9758
RenderThread_0.39	39	44.1272
RenderThread_0.4	4	44.2081
RenderThread_0.40	40	43.8415
RenderThread_0.41	41	43.77
RenderThread_0.42	42	44.2042
RenderThread_0.43	43	44.0392
RenderThread_0.44	44	43.8962
RenderThread_0.45	45	44.5623
RenderThread_0.46	46	44.0939
RenderThread_0.47	47	44.0831
RenderThread_0.48	48	44.2823
RenderThread_0.49	49	47.6497
RenderThread_0.5	5	49.3599
RenderThread_0.50	50	44.4755
RenderThread_0.51	51	43.8758
RenderThread_0.52	52	43.7496
RenderThread_0.53	53	43.9244
RenderThread_0.54	54	43.8565
RenderThread_0.55	55	44.0666
RenderThread_0.56	56	44.7925
RenderThread_0.57	57	44.2925
RenderThread_0.58	58	44.1116
RenderThread_0.59	59	44.6675
RenderThread_0.6	6	44.3123
RenderThread_0.60	60	43.81
RenderThread_0.61	61	43.9725
RenderThread_0.62	62	44.1801
RenderThread_0.63	63	43.8097
RenderThread_0.64	64	44.194
RenderThread_0.65	65	44.3355
RenderThread_0.66	66	43.8908
RenderThread_0.67	67	44.1318
RenderThread_0.68	68	43.9566
RenderThread_0.69	69	43.8088
RenderThread_0.7	7	44.6359
RenderThread_0.70	70	44.3586
RenderThread_0.71	71	67.4933
RenderThread_0.72	72	43.9689
RenderThread_0.73	73	55.4237
RenderThread_0.74	74	46.9496
RenderThread_0.75	75	45.8507
RenderThread_0.76	76	44.2619
RenderThread_0.77	77	46.6181
RenderThread_0.78	78	44.2165
RenderThread_0.79	79	43.7988
RenderThread_0.8	8	44.4115
RenderThread_0.80	80	43.5275
RenderThread_0.81	81	43.3713
RenderThread_0.82	82	45.0695
RenderThread_0.83	83	44.1465
RenderThread_0.84	84	43.9283
RenderThread_0.85	85	43.922
RenderThread_0.86	86	44.0906
RenderThread_0.87	87	44.5067
RenderThread_0.88	88	44.0708
RenderThread_0.89	89	43.8965
RenderThread_0.9	9	49.7571
RenderThread_0.90	90	43.6555
RenderThread_0.91	91	43.6068
RenderThread_0.92	92	43.5597
RenderThread_0.93	93	43.8118
RenderThread_0.94	94	45.7654
RenderThread_0.95	95	44.6155
RenderThread_0.96	96	43.846
RenderThread_0.97	97	44.1176
RenderThread_0.98	98	43.9121
RenderThread_0.99	99	44.5497
RenderThread_1.0	0	43.4061
RenderThread_1.1	1	43.4749
RenderThread_1.10	10	43.9352
RenderThread_1.11	11	44.559
RenderThread_1.12	12	45.1245
RenderThread_1.13	13	44.0068
RenderThread_1.14	14	44.3766
RenderThread_1.15	15	44.7246
RenderThread_1.16	16	45.1491
RenderThread_1.17	17	43.6032
RenderThread_1.18	18	44.9614
RenderThread_1.19	19	45.3529
RenderThread_1.2	2	45.3445
RenderThread_1.20	20	44.5239
RenderThread_1.21	21	45.0975
RenderThread_1.22	22	45.0082
RenderThread_1.23	23	46.0887
RenderThread_1.24	24	44.5046
RenderThread_1.25	25	43.8235
RenderThread_1.26	26	44.5299
RenderThread_1.27	27	44.3965
RenderThread_1.28	28	44.7513
RenderThread_1.29	29	43.5954
RenderThread_1.3	3	44.6399
RenderThread_1.30	30	44.5215
RenderThread_1.31	31	43.8878
RenderThread_1.32	32	45.9
RenderThread_1.33	33	44.1453
RenderThread_1.34	34	44.2456
RenderThread_1.35	35	43.5924
RenderThread_1.36	36	43.834
RenderThread_1.37	37	43.7162
RenderThread_1.38	38	43.7649
RenderThread_1.39	39	44.331
RenderThread_1.4	4	47.5628
RenderThread_1.40	40	43.7345
RenderThread_1.41	41	44.044
RenderThread_1.42	42	43.8172
RenderThread_1.43	43	44.0341
RenderThread_1.44	44	43.5263
RenderThread_1.45	45	44.1909
RenderThread_1.46	46	43.9638
RenderThread_1.47	47	44.965
RenderThread_1.48	48	43.7093
RenderThread_1.49	49	43.9142
RenderThread_1.5	5	43.9851
RenderThread_1.50	50	43.8328
RenderThread_1.51	51	43.8881
RenderThread_1.52	52	43.7237
RenderThread_1.53	53	44.0813
RenderThread_1.54	54	43.8598
RenderThread_1.55	55	45.0803
RenderThread_1.56	56	44.2201
RenderThread_1.57	57	43.9043
RenderThread_1.58	58	44.0948
RenderThread_1.59	59	44.0575
RenderThread_1.6	6	44.1976
RenderThread_1.60	60	43.5392
RenderThread_1.61	61	43.6528
RenderThread_1.62	62	43.7009
RenderThread_1.63	63	43.9755
RenderThread_1.64	64	45.6669
RenderThread_1.65	65	43.8109
RenderThread_1.66	66	43.8154
