NAME	FRAME	DURATION
RenderThread_0.0	0	52.526
RenderThread_0.1	1	45.7627
RenderThread_0.2	2	43.8079
RenderThread_0.3	3	51.7057
RenderThread_0.4	4	43.346
RenderThread_0.5	5	43.9151
RenderThread_0.6	6	56.4047
RenderThread_0.7	7	78.0439
RenderThread_0.8	8	43.977
RenderThread_0.9	9	43.8343
RenderThread_1.0	0	46.2933
RenderThread_1.1	1	46.6692
RenderThread_1.2	2	44.5464
RenderThread_1.3	3	43.7568
RenderThread_1.4	4	45.678
RenderThread_1.5	5	43.6363
RenderThread_1.6	6	44.2441
RenderThread_1.7	7	44.8526
RenderThread_1.8	8	44.1236
RenderThread_1.9	9	44.4076
RenderThread_2.0	0	67.7934
RenderThread_2.1	1	43.9842
RenderThread_2.2	2	43.7478
RenderThread_2.3	3	44.2571
RenderThread_2.4	4	46.8074
RenderThread_2.5	5	46.5421
RenderThread_2.6	6	45.1852
RenderThread_2.7	7	45.6599
RenderThread_2.8	8	56.439
RenderThread_2.9	9	44.4253
RenderThread_3.0	0	52.7763
RenderThread_3.1	1	52.5314
RenderThread_3.2	2	52.6957
RenderThread_3.3	3	52.8427
RenderThread_3.4	4	66.3019
RenderThread_3.5	5	54.6419
RenderThread_3.6	6	71.8029
RenderThread_3.7	7	53.65
RenderThread_3.8	8	52.7949
RenderThread_3.9	9	52.6495
RenderThread_4.0	0	143.152
RenderThread_4.1	1	140.595
RenderThread_4.2	2	134.854
RenderThread_4.3	3	134.983
RenderThread_4.4	4	138.975
RenderThread_4.5	5	138.473
RenderThread_4.6	6	123.252
RenderThread_4.7	7	139.097
RenderThread_4.8	8	141.845
RenderThread_4.9	9	130.557
RenderThread_5.0	0	144.96
RenderThread_5.1	1	148.303
RenderThread_5.2	2	143.426
RenderThread_5.3	3	146.044
RenderThread_5.4	4	159.733
RenderThread_5.5	5	146.041
RenderThread_5.6	6	144.248
RenderThread_5.7	7	162.73
RenderThread_5.8	8	145.824
RenderThread_5.9	9	148.716
RenderThread_6.0	0	105.277
RenderThread_6.1	1	92.2808
RenderThread_6.2	2	108.96
RenderThread_6.3	3	86.6235
RenderThread_6.4	4	105.003
RenderThread_6.5	5	103.121
RenderThread_6.6	6	109.204
RenderThread_6.7	7	121.826
RenderThread_6.8	8	102.934
RenderThread_6.9	9	104.47
RenderThread_7.0	0	72.6217
RenderThread_7.1	1	69.7537
RenderThread_7.2	2	69.4806
RenderThread_7.3	3	71.6932
RenderThread_7.4	4	67.0299
RenderThread_7.5	5	72.9792
RenderThread_7.6	6	75.7072
RenderThread_7.7	7	78.9706
RenderThread_7.8	8	74.6583
RenderThread_7.9	9	69.8048
