NAME	FRAME	DURATION
RenderThread_0.0	0	43.654
RenderThread_0.1	1	43.8295
RenderThread_0.2	2	57.9239
RenderThread_0.3	3	53.022
RenderThread_0.4	4	45.0869
RenderThread_0.5	5	44.7357
RenderThread_0.6	6	44.3223
RenderThread_0.7	7	43.858
RenderThread_0.8	8	44.1026
RenderThread_0.9	9	44.8601
RenderThread_1.0	0	44.9445
RenderThread_1.1	1	44.0675
RenderThread_1.2	2	44.9532
RenderThread_1.3	3	44.6885
RenderThread_1.4	4	46.9655
RenderThread_1.5	5	43.465
RenderThread_1.6	6	45.4655
RenderThread_1.7	7	44.1525
RenderThread_1.8	8	44.4259
RenderThread_1.9	9	47.0388
RenderThread_2.0	0	49.2073
RenderThread_2.1	1	44.5362
RenderThread_2.2	2	58.7577
RenderThread_2.3	3	50.2788
RenderThread_2.4	4	44.6741
RenderThread_2.5	5	47.8305
RenderThread_2.6	6	43.6585
RenderThread_2.7	7	64.3921
RenderThread_2.8	8	44.0617
RenderThread_2.9	9	62.5157
RenderThread_3.0	0	51.6877
RenderThread_3.1	1	51.9899
RenderThread_3.2	2	53.0136
RenderThread_3.3	3	55.9105
RenderThread_3.4	4	52.2652
RenderThread_3.5	5	63.7743
RenderThread_3.6	6	51.1291
RenderThread_3.7	7	52.3583
RenderThread_3.8	8	51.8643
RenderThread_3.9	9	58.7033
RenderThread_4.0	0	138.277
RenderThread_4.1	1	131.433
RenderThread_4.2	2	140.883
RenderThread_4.3	3	125.978
RenderThread_4.4	4	133.536
RenderThread_4.5	5	134.29
RenderThread_4.6	6	139.318
RenderThread_4.7	7	143.968
RenderThread_4.8	8	115.201
RenderThread_4.9	9	146.756
RenderThread_5.0	0	154.467
RenderThread_5.1	1	141.189
RenderThread_5.2	2	144.131
RenderThread_5.3	3	143.088
RenderThread_5.4	4	152.037
RenderThread_5.5	5	138.129
RenderThread_5.6	6	150.514
RenderThread_5.7	7	146.767
RenderThread_5.8	8	133.096
RenderThread_5.9	9	157.59
RenderThread_6.0	0	98.6841
RenderThread_6.1	1	88.1214
RenderThread_6.2	2	103.168
RenderThread_6.3	3	101.336
RenderThread_6.4	4	104.507
RenderThread_6.5	5	96.0961
RenderThread_6.6	6	101.183
RenderThread_6.7	7	100.888
RenderThread_6.8	8	81.0898
RenderThread_6.9	9	123.199
RenderThread_7.0	0	70.0857
RenderThread_7.1	1	72.2202
RenderThread_7.2	2	63.0809
RenderThread_7.3	3	71.8134
RenderThread_7.4	4	76.1152
RenderThread_7.5	5	65.4681
RenderThread_7.6	6	71.3946
RenderThread_7.7	7	71.2843
RenderThread_7.8	8	72.7923
RenderThread_7.9	9	79.5259
