NAME	FRAME	DURATION
RenderThread_0.0	0	19.7955
RenderThread_0.1	1	23.0442
RenderThread_0.2	2	19.7463
RenderThread_0.3	3	19.569
RenderThread_0.4	4	25.7172
RenderThread_0.5	5	18.6685
RenderThread_0.6	6	16.8059
RenderThread_0.7	7	19.4175
RenderThread_0.8	8	20.7156
RenderThread_0.9	9	20.6146
RenderThread_1.0	0	20.0455
RenderThread_1.1	1	19.9551
RenderThread_1.2	2	20.9415
RenderThread_1.3	3	20.2198
RenderThread_1.4	4	31.8909
RenderThread_1.5	5	20.6858
RenderThread_1.6	6	20.5882
RenderThread_1.7	7	19.91
RenderThread_1.8	8	19.9821
RenderThread_1.9	9	19.4963
RenderThread_2.0	0	19.965
RenderThread_2.1	1	20.8655
RenderThread_2.2	2	19.7874
RenderThread_2.3	3	20.6465
RenderThread_2.4	4	28.6107
RenderThread_2.5	5	20.5807
RenderThread_2.6	6	20.2988
RenderThread_2.7	7	20.4974
RenderThread_2.8	8	19.9716
RenderThread_2.9	9	20.407
RenderThread_3.0	0	33.1454
RenderThread_3.1	1	24.3777
RenderThread_3.2	2	24.686
RenderThread_3.3	3	24.6992
RenderThread_3.4	4	26.182
RenderThread_3.5	5	24.4315
RenderThread_3.6	6	24.226
RenderThread_3.7	7	24.5454
RenderThread_3.8	8	25.2304
RenderThread_3.9	9	23.3561
RenderThread_4.0	0	77.5124
RenderThread_4.1	1	64.0841
RenderThread_4.2	2	70.1771
RenderThread_4.3	3	67.1189
RenderThread_4.4	4	68.2126
RenderThread_4.5	5	63.5941
RenderThread_4.6	6	65.9633
RenderThread_4.7	7	64.7094
RenderThread_4.8	8	57.5892
RenderThread_4.9	9	67.8577
RenderThread_5.0	0	83.7871
RenderThread_5.1	1	73.4768
RenderThread_5.2	2	72.7968
RenderThread_5.3	3	73.5952
RenderThread_5.4	4	66.9629
RenderThread_5.5	5	69.9168
RenderThread_5.6	6	75.5197
RenderThread_5.7	7	73.8308
RenderThread_5.8	8	65.7322
RenderThread_5.9	9	71.2143
RenderThread_6.0	0	45.8763
RenderThread_6.1	1	55.6842
RenderThread_6.2	2	45.1735
RenderThread_6.3	3	41.3134
RenderThread_6.4	4	45.0154
RenderThread_6.5	5	45.1594
RenderThread_6.6	6	40.0484
RenderThread_6.7	7	42.1336
RenderThread_6.8	8	41.9993
RenderThread_6.9	9	43.9151
RenderThread_7.0	0	36.7666
RenderThread_7.1	1	33.9185
RenderThread_7.2	2	31.555
RenderThread_7.3	3	33.8323
RenderThread_7.4	4	33.4729
RenderThread_7.5	5	33.5462
RenderThread_7.6	6	34.1769
RenderThread_7.7	7	31.9075
RenderThread_7.8	8	32.0799
RenderThread_7.9	9	31.7689
