NAME	FRAME	DURATION
RenderThread_0.0	0	122.973
RenderThread_0.1	1	119.624
RenderThread_0.2	2	131.359
RenderThread_0.3	3	119.368
RenderThread_0.4	4	123.917
RenderThread_0.5	5	133.933
RenderThread_0.6	6	130.684
RenderThread_0.7	7	119.274
RenderThread_0.8	8	126.86
RenderThread_0.9	9	126.692
RenderThread_1.0	0	94.3522
RenderThread_1.1	1	94.9685
RenderThread_1.2	2	110.087
RenderThread_1.3	3	86.2918
RenderThread_1.4	4	86.7011
RenderThread_1.5	5	108.328
RenderThread_1.6	6	104.91
RenderThread_1.7	7	89.2313
RenderThread_1.8	8	98.4819
RenderThread_1.9	9	99.5344
